"","h2","temperature","trait.variation","replicates","mean_animal_trait","mean_plant_trait","mean_community_trait","animal_biomass","plant_biomass","community_biomass","animal_richness","plant_richness","community_richness"
"115",0,41,"high",2,17.7814241917804,15.3369280616365,15.9480520941725,-1.42956357009078e-08,-3.92585638700882e-08,-5.3554199570996e-08,0,0,0
"116",0.4,41,"high",2,18.4480445913477,17.311630505192,17.595734026731,-7.52406560186983e-09,-2.02256277544833e-08,-2.77496933563531e-08,0,0,0
"117",0,42,"high",2,16.5642922167899,18.5090947545056,18.0228941200767,-2.15347346085726e-08,-5.46857280657889e-08,-7.62204626743614e-08,0,0,0
"118",0.4,42,"high",2,19.3074552827113,16.8183668777031,17.4406389789552,-8.40852455341252e-09,-2.66646227642044e-08,-3.50731473176169e-08,0,0,0
"119",0,43,"high",2,15.952308960841,17.789800814741,17.330427851266,-1.33126364767698e-08,-4.95186371280798e-08,-6.28312736048496e-08,0,0,0
"120",0.4,43,"high",2,15.1991661376343,17.8939944996629,17.2202874091558,-6.65931484303034e-09,-2.8709604920946e-08,-3.53689197639763e-08,0,0,0
"121",0,44,"high",2,20.1113055064343,17.1723428774082,17.9070835346647,-1.46459865013093e-08,-4.17490078634506e-08,-5.63949943647599e-08,0,0,0
"122",0.4,44,"high",2,16.2023071881903,16.8690946531243,16.7023977868908,-6.63446300424169e-09,-1.80494149951494e-08,-2.46838779993911e-08,0,0,0
"123",0,45,"high",2,17.7232852356974,17.6335221301997,17.6559629065741,-1.37358760598983e-08,-3.86966125248005e-08,-5.24324885846988e-08,0,0,0
"124",0.4,45,"high",2,17.5882552265193,16.8631526894144,17.0444283236906,-5.76304539684296e-09,-1.85788385212015e-08,-2.43418839180444e-08,0,0,0
"125",0,15,"high",3,19.0414622222306,16.7716656673777,17.3391148060909,0.635444237201403,2.49020246461071,3.12564670181211,4,7,11
"126",0.4,15,"high",3,15,14.7605170924794,14.8203878193595,5.04797211567185,10.1896692543774,15.2376413700493,3,9,12
"127",0,16,"high",3,17.8882022330072,17.3694023030112,17.4991022855102,1.26274882606086,3.69881707625273,4.96156590231359,2,8,10
"128",0.4,16,"high",3,16,16,16,13.9732825525081,38.9727631762799,52.946045728788,6,17,23
"129",0,17,"high",3,16.0418573115021,17.0414419136553,16.791545763117,1.05595768552428,3.66971296409238,4.72567064961666,3,12,15
"130",0.4,17,"high",3,17,16.6815588454949,16.7611691341212,5.4372090677428,13.6785021013995,19.1157111691423,4,11,15
"131",0,18,"high",3,19.0200281201396,17.6529747414558,17.9947380861267,2.48352073401315,7.47907949618519,9.96260023019834,4,14,18
"132",0.4,18,"high",3,18,17.7042844680179,17.7782133510134,11.3061563286147,35.0902185645059,46.3963748931206,5,17,22
"133",0,19,"high",3,16.8932994001079,16.9720754857796,16.9523814643617,0.919817378356053,3.67407365487828,4.59389103323434,3,9,12
"134",0.4,19,"high",3,19,19,19,6.89468918570543,17.3459001979396,24.2405893836451,4,13,17
"135",0,20,"high",3,19.6372665540548,17.8420513827587,18.2908551755827,1.72099680533315,4.25456519483721,5.97556200017035,5,11,16
"136",0.4,20,"high",3,20,20,20,4.13661769920526,14.5518175924956,18.6884352917008,4,13,17
"137",0,21,"high",3,14.2882185935741,16.9811960022586,16.3079516500875,0.418517166920326,2.33663944454715,2.75515661146748,1,9,10
"138",0.4,21,"high",3,21,20.4094954661841,20.557121599638,5.14675837808201,15.9431258264532,21.0898842045352,4,13,17
"139",0,22,"high",3,18.9910222700564,19.0703376650345,19.0505088162899,1.01773994081843,5.25534094600849,6.27308088682692,2,10,12
"140",0.4,22,"high",3,20.3118156279591,22,21.5779539069898,6.01877593645014,16.8322890367141,22.8510649731643,5,13,18
"141",0,23,"high",3,17.3104228370357,17.3025488843753,17.3045173725404,1.17116389163448,2.51610825330585,3.68727214494033,3,8,11
"142",0.4,23,"high",3,19.4948927081689,22.0994807260487,21.4483337215787,2.54916434202702,7.38748841954861,9.93665276157563,3,11,14
"143",0,24,"high",3,19.7121337865246,18.7718928572334,19.0069530895562,0.537690057906351,2.05635884376088,2.59404890166723,2,9,11
