"","h2","mutualistic_strength","temperature","trait.variation","replicates","mean_animal_trait","mean_plant_trait","mean_community_trait","animal_biomass","plant_biomass","community_biomass","animal_richness","plant_richness","community_richness","temp_of_collapse","abruptness"
"54",0.4,2.25,20,"high",1,19.9999999999998,19.9999999999997,19.9999999999998,41.8238325902428,89.1920099875816,131.015842577824,6,18,24,0,0
"55",0,2.5,20,"high",1,16.5709232562222,17.1612617798382,17.0136771489342,9.58304336758457,23.8576551841944,33.440698551779,6,18,24,0,0
"56",0.4,2.5,20,"high",1,19.9999999999992,19.9999999999992,19.9999999999992,45.4957424215905,93.4369720709985,138.932714492589,6,18,24,0,0
"57",0,2.75,20,"high",1,16.2499400030356,17.7620639366796,17.3840329532686,20.0913344078551,45.8728168264163,65.9641512342713,6,17,23,0,0
"58",0.4,2.75,20,"high",1,19.9999999999992,19.9999999999992,19.9999999999992,48.7389492456643,96.7971959233064,145.536145168971,6,18,24,0,0
"59",0,3,20,"high",1,17.3410072771367,16.2742233427707,16.5409193263622,23.9912608428604,48.9846273183435,72.9758881612039,6,16,22,0,0
"60",0.4,3,20,"high",1,19.9999999999991,19.9999999999991,19.9999999999991,51.642309224434,99.5137015911722,151.156010815606,6,18,24,0,0
"61",0,3.25,20,"high",1,18.4683109162143,18.8702868255011,18.7697928481793,27.4971419934632,55.5813799136413,83.0785219071046,6,18,24,0,0
"62",0.4,3.25,20,"high",1,20.0000000000002,19.9999999999999,20,54.2534025380871,101.744359994038,155.997762532125,6,18,24,0,0
"63",0,3.5,20,"high",1,18.8751505920663,16.3609291438479,16.9894845059025,18.7840843543574,43.6906503761079,62.4747347304653,6,17,23,0,0
"64",0.4,3.5,20,"high",1,19.9999999999991,19.9999999999991,19.9999999999991,56.6417679910053,103.611735258155,160.25350324916,6,18,24,0,0
"65",0,3.75,20,"high",1,15.4406300705159,18.9142426817367,18.0458395289315,17.5194983774803,30.6160263502258,48.1355247277061,6,17,23,0,0
"66",0.4,3.75,20,"high",1,19.9999999999994,19.9999999999995,19.9999999999994,58.7937213126835,105.173206439665,163.966927752349,6,18,24,0,0
"67",0,4,20,"high",1,20.1860820141155,16.9852034359549,17.7854230804951,24.0482385080431,52.0981834102225,76.1464219182656,6,18,24,0,0
"68",0.4,4,20,"high",1,19.9999999999988,19.9999999999988,19.9999999999988,60.8079028819546,106.522207781362,167.330110663317,6,18,24,0,0
"69",0,4.25,20,"high",1,18.0610918399179,18.8085982446016,18.6217216434306,28.7416602752599,66.5583471532479,95.3000074285077,6,18,24,0,0
"70",0.4,4.25,20,"high",1,19.9999999999988,19.9999999999987,19.9999999999988,62.6390368130142,107.669465862681,170.308502675696,6,18,24,0,0
"71",0,4.5,20,"high",1,20.3156562894583,16.643290950063,17.5613822849118,27.5405069753652,47.0480595821254,74.5885665574906,6,17,23,0,0
"72",0.4,4.5,20,"high",1,19.9999999999989,19.9999999999989,19.9999999999989,64.3447711748971,108.674830429354,173.019601604251,6,18,24,0,0
"73",0,4.75,20,"high",1,17.8781631751917,16.9660302067253,17.1940634488419,25.4507637317069,55.1483396932611,80.599103424968,5,16,21,0,0
"74",0.4,4.75,20,"high",1,20,19.9999999999998,19.9999999999998,65.943161525999,109.566550024371,175.50971155037,6,18,24,0,0
